Rank,Name,Year,Rating,Num_user_rating
215,La passion de Jeanne d'Arc,1928,8.0,44513
216,Logan,2017,8.0,614930
217,Dead Poets Society,1989,8.0,402471
218,Harry Potter and the Deathly Hallows: Part 2,2011,8.0,731894
219,Andrei Rublev,1966,8.0,43403
220,Les quatre cents coups,1959,8.0,99501
221,Hotel Rwanda,2004,8.0,325765
222,Amores perros,2000,8.0,216334
223,Ah-ga-ssi,2016,8.0,98856
224,Spotlight,2015,8.0,397530
225,Rang De Basanti,2006,8.0,106632
226,Kaze no tani no Naushika,1984,8.0,140545
227,Rocky,1976,8.0,499292
228,Rebecca,1940,8.0,117192
229,Portrait de la jeune fille en feu,2019,8.0,37330
230,Monsters| Inc.,2001,8.0,784790
231,La haine,1995,8.0,140657
232,It Happened One Night,1934,8.0,89667
233,Gangs of Wasseypur,2012,8.0,75419
234,Faa yeung nin wa,2000,8.0,115963
235,Before Sunset,2004,8.0,223590
236,Paris| Texas,1984,8.0,83299
237,The Princess Bride,1987,8.0,378915
238,The Help,2011,8.0,411319
239,Contratiempo,2016,8.0,117412
240,Drishyam,2015,8.0,62873
241,The Terminator,1984,8.0,774074
242,Kis Uykusu,2014,8.0,42364
243,Ace in the Hole,1951,8.0,29500
244,Butch Cassidy and the Sundance Kid,1969,8.0,197011
245,Aladdin,1992,8.0,356879
246,Trois couleurs: Rouge,1994,8.0,85463
247,Lagaan: Once Upon a Time in India,2001,8.0,100362
248,Fanny och Alexander,1982,8.0,54992
249,Swades: We| the People,2004,8.0,79212
